athlete_id,t,x,y
athlete_001,0.0,-0.08,0.18
athlete_001,1.0,0.5413245231055004,0.18
athlete_001,2.0,0.92,0.4226490462110007
athlete_001,3.0,0.6960264306834988,0.82
athlete_001,4.0,0.08,0.8147019075779985
athlete_001,5.0,0.08,0.1933773844724983
athlete_001,6.0,0.6879471386330022,0.18
athlete_001,7.0,0.92,0.569271661738503
athlete_001,8.0,0.5494038151559969,0.82
athlete_001,9.0,0.08,0.668079292050496
athlete_001,10.0,0.2132452310550041,0.18
athlete_001,11.0,0.8345697541605052,0.18
athlete_001,12.0,0.92,0.7158942772660055
athlete_001,13.0,0.40278119962849435,0.82
athlete_001,14.0,0.08,0.5214566765229925
athlete_001,14.903645,0.30000000000000066,0.18
athlete_001,15.903645,0.3,0.1847553886271806
athlete_001,16.903645,0.3,0.18951077725436122
athlete_001,17.903645,0.3,0.19426616588154183
athlete_001,18.903645,0.3,0.19902155450872241
athlete_001,19.903645,0.3,0.20377694313590303
athlete_001,20.903645,0.3,0.20853233176308364
athlete_001,21.903645,0.3,0.21328772039026425
athlete_001,22.903645,0.3,0.21804310901744486
athlete_001,23.903645,0.2972015023553745,0.22
athlete_001,24.903645,0.2924461137281939,0.22
athlete_001,25.903645,0.2876907251010133,0.22
athlete_001,26.903645,0.2829353364738327,0.22
athlete_001,27.903645,0.27817994784665206,0.22
athlete_001,28.903645,0.2734245592194715,0.22
athlete_001,29.903645,0.2686691705922909,0.22
athlete_001,30.903645,0.2639137819651103,0.22
athlete_001,31.903645,0.25915839333792967,0.22
athlete_001,32.903645,0.25440300471074906,0.22
athlete_001,33.903645,0.24964761608356845,0.22
athlete_001,34.903645,0.24489222745638783,0.22
athlete_001,35.903645,0.24013683882920722,0.22
athlete_001,36.903645,0.2353814502020266,0.22
athlete_001,37.903645,0.230626061574846,0.22
athlete_001,38.903645,0.22587067294766539,0.22
athlete_001,39.903645,0.2211152843204848,0.22
athlete_001,40.903645,0.21635989569330416,0.22
athlete_001,41.903645,0.21160450706612358,0.22
athlete_001,42.903645,0.20684911843894296,0.22
athlete_001,43.903645,0.20209372981176235,0.22
athlete_001,44.903645,0.19733834118458177,0.22
athlete_001,45.903645,0.19258295255740113,0.22
athlete_001,46.903645,0.18782756393022054,0.22
athlete_001,47.903645,0.18307217530303993,0.22
athlete_001,48.903645,0.18,0.22168321332414068
athlete_001,49.903645,0.18,0.2264386019513213
athlete_001,50.903645,0.18,0.2311939905785019
athlete_001,51.903645,0.18,0.23594937920568249
athlete_001,52.903645,0.18,0.24070476783286313
athlete_001,53.903645,0.18,0.2454601564600437
athlete_001,54.903645,0.18,0.2502155450872243
athlete_001,55.903645,0.18,0.25497093371440493
athlete_001,56.903645,0.18,0.25972632234158555
athlete_001,57.903645,0.18,0.26448171096876616
athlete_001,58.903645,0.18,0.26923709959594677
athlete_001,59.903645,0.18,0.2739924882231274
athlete_001,60.903645,0.18,0.278747876850308
athlete_001,61.903645,0.18,0.2835032654774886
athlete_001,62.903645,0.18,0.2882586541046692
athlete_001,63.903645,0.18,0.29301404273184983
athlete_001,64.903645,0.18,0.29776943135903045
athlete_001,65.903645,0.18,0.30252481998621106
athlete_001,66.903645,0.18,0.30728020861339167
athlete_001,67.903645,0.18,0.3120355972405723
athlete_001,68.903645,0.18,0.31679098586775284
athlete_001,69.903645,0.18,0.3215463744949335
athlete_001,70.903645,0.18,0.3263017631221141
athlete_001,71.903645,0.18,0.3310571517492947
athlete_001,72.903645,0.18,0.3358125403764753
athlete_001,73.784216,0.18,0.34
athlete_001,74.784216,0.18,0.34238582975985493
athlete_001,75.784216,0.18,0.3447716595197099
athlete_001,76.784216,0.18,0.3471574892795648
athlete_001,77.784216,0.18,0.3495433190394197
athlete_001,78.784216,0.18,0.35192914879927467
athlete_001,79.784216,0.18,0.3543149785591296
athlete_001,80.784216,0.18,0.3567008083189845
athlete_001,81.784216,0.18,0.35908663807883945
athlete_001,82.784216,0.18,0.36147246783869436
athlete_001,83.784216,0.18,0.36385829759854926
athlete_001,84.784216,0.18,0.3662441273584042
athlete_001,85.784216,0.18,0.36862995711825913
athlete_001,86.784216,0.18,0.3710157868781141
athlete_001,87.784216,0.18,0.373401616637969
athlete_001,88.784216,0.18,0.3757874463978239
athlete_001,89.784216,0.18,0.3781732761576789
athlete_001,90.784216,0.18,0.3805591059175338
athlete_001,91.784216,0.18,0.3829449356773887
athlete_001,92.784216,0.18,0.38533076543724365
athlete_001,93.784216,0.18,0.38771659519709856
athlete_001,94.784216,0.18,0.39010242495695346
athlete_001,95.784216,0.18,0.3924882547168084
athlete_001,96.784216,0.18,0.39487408447666333
athlete_001,97.784216,0.18,0.39725991423651824
athlete_001,98.784216,0.18,0.3996457439963732
athlete_001,99.784216,0.18,0.4020315737562281
athlete_001,100.784216,0.18,0.404417403516083
athlete_001,101.784216,0.18,0.4068032332759379
