athlete_id,sensor_type,timestamp,round
athlete_real_001,start_tunnel_sensor,11:30:00,
athlete_real_001,main_in_sensor,11:30:22,1
athlete_real_001,station_in_sensor,11:31:40,1
athlete_real_001,station_out_sensor,11:34:59,1
athlete_real_001,main_out_sensor,11:36:21,1
athlete_real_001,main_in_sensor,11:37:42,2
athlete_real_001,station_in_sensor,11:39:00,2
athlete_real_001,station_out_sensor,11:42:25,2
athlete_real_001,main_out_sensor,11:43:48,2
athlete_real_001,main_in_sensor,11:45:09,3
athlete_real_001,station_in_sensor,11:46:27,3
athlete_real_001,station_out_sensor,11:49:57,3
athlete_real_001,main_out_sensor,11:51:18,3
athlete_real_001,main_in_sensor,11:52:39,4
athlete_real_001,station_in_sensor,11:53:57,4
athlete_real_001,station_out_sensor,11:57:27,4
athlete_real_001,main_out_sensor,11:58:49,4
athlete_real_001,main_in_sensor,12:00:11,5
athlete_real_001,station_in_sensor,12:01:30,5
athlete_real_001,station_out_sensor,12:05:04,5
athlete_real_001,main_out_sensor,12:06:28,5
athlete_real_001,main_in_sensor,12:07:53,6
athlete_real_001,station_in_sensor,12:09:13,6
athlete_real_001,station_out_sensor,12:12:52,6
athlete_real_001,main_out_sensor,12:14:14,6
athlete_real_001,main_in_sensor,12:15:37,7
athlete_real_001,station_in_sensor,12:16:59,7
athlete_real_001,station_out_sensor,12:20:41,7
athlete_real_001,main_out_sensor,12:22:07,7
athlete_real_001,main_in_sensor,12:23:30,8
athlete_real_001,station_in_sensor,12:24:56,8
athlete_real_001,finish_line_sensor,12:26:00,
athlete_real_002,start_tunnel_sensor,11:30:01,
athlete_real_002,main_in_sensor,11:30:25,1
athlete_real_002,station_in_sensor,11:31:52,1
athlete_real_002,station_out_sensor,11:35:32,1
athlete_real_002,main_out_sensor,11:37:03,1
athlete_real_002,main_in_sensor,11:38:32,2
athlete_real_002,station_in_sensor,11:39:59,2
athlete_real_002,station_out_sensor,11:43:46,2
athlete_real_002,main_out_sensor,11:45:18,2
athlete_real_002,main_in_sensor,11:46:47,3
athlete_real_002,station_in_sensor,11:48:14,3
athlete_real_002,station_out_sensor,11:52:07,3
athlete_real_002,main_out_sensor,11:53:36,3
athlete_real_002,main_in_sensor,11:55:05,4
athlete_real_002,station_in_sensor,11:56:32,4
athlete_real_002,station_out_sensor,12:00:24,4
athlete_real_002,main_out_sensor,12:01:55,4
athlete_real_002,main_in_sensor,12:03:26,5
athlete_real_002,station_in_sensor,12:04:54,5
athlete_real_002,station_out_sensor,12:08:50,5
athlete_real_002,main_out_sensor,12:10:24,5
athlete_real_002,main_in_sensor,12:11:57,6
athlete_real_002,station_in_sensor,12:13:26,6
athlete_real_002,station_out_sensor,12:17:28,6
athlete_real_002,main_out_sensor,12:18:59,6
athlete_real_002,main_in_sensor,12:20:31,7
athlete_real_002,station_in_sensor,12:22:02,7
athlete_real_002,station_out_sensor,12:26:08,7
athlete_real_002,main_out_sensor,12:27:43,7
athlete_real_002,main_in_sensor,12:29:15,8
athlete_real_002,station_in_sensor,12:30:51,8
athlete_real_002,finish_line_sensor,12:32:01,
athlete_real_003,start_tunnel_sensor,11:30:00,
athlete_real_003,main_in_sensor,11:30:31,1
athlete_real_003,station_in_sensor,11:32:23,1
athlete_real_003,station_out_sensor,11:37:08,1
athlete_real_003,main_out_sensor,11:39:05,1
athlete_real_003,main_in_sensor,11:41:00,2
athlete_real_003,station_in_sensor,11:42:51,2
athlete_real_003,station_out_sensor,11:47:45,2
athlete_real_003,main_out_sensor,11:49:43,2
athlete_real_003,main_in_sensor,11:51:39,3
athlete_real_003,station_in_sensor,11:53:30,3
athlete_real_003,station_out_sensor,11:58:31,3
athlete_real_003,main_out_sensor,12:00:26,3
athlete_real_003,main_in_sensor,12:02:21,4
athlete_real_003,station_in_sensor,12:04:13,4
athlete_real_003,station_out_sensor,12:09:13,4
athlete_real_003,main_out_sensor,12:11:10,4
athlete_real_003,main_in_sensor,12:13:07,5
athlete_real_003,station_in_sensor,12:15:00,5
athlete_real_003,station_out_sensor,12:20:06,5
athlete_real_003,main_out_sensor,12:22:06,5
athlete_real_003,main_in_sensor,12:24:07,6
athlete_real_003,station_in_sensor,12:26:02,6
athlete_real_003,station_out_sensor,12:31:14,6
athlete_real_003,main_out_sensor,12:33:11,6
athlete_real_003,main_in_sensor,12:35:10,7
athlete_real_003,station_in_sensor,12:37:07,7
athlete_real_003,station_out_sensor,12:42:24,7
athlete_real_003,main_out_sensor,12:44:27,7
athlete_real_003,main_in_sensor,12:46:25,8
athlete_real_003,station_in_sensor,12:48:29,8
athlete_real_003,finish_line_sensor,12:50:00,
