athlete_id,sensor_type,timestamp,round
athlete_001,start_tunnel_sensor,0.0,
athlete_001,main_in_sensor,15.0,1
athlete_001,station_in_sensor,70.0,1
athlete_001,station_out_sensor,210.0,1
athlete_001,main_out_sensor,270.0,1
athlete_001,main_in_sensor,325.0,2
athlete_001,station_in_sensor,380.0,2
athlete_001,station_out_sensor,560.0,2
athlete_001,main_out_sensor,620.0,2
athlete_001,main_in_sensor,675.0,3
athlete_001,station_in_sensor,730.0,3
athlete_001,station_out_sensor,900.0,3
athlete_001,main_out_sensor,960.0,3
athlete_001,main_in_sensor,1015.0,4
athlete_001,station_in_sensor,1070.0,4
athlete_001,station_out_sensor,1240.0,4
athlete_001,main_out_sensor,1300.0,4
athlete_001,main_in_sensor,1355.0,5
athlete_001,station_in_sensor,1410.0,5
athlete_001,station_out_sensor,1580.0,5
athlete_001,main_out_sensor,1640.0,5
athlete_001,main_in_sensor,1695.0,6
athlete_001,station_in_sensor,1750.0,6
athlete_001,station_out_sensor,1920.0,6
athlete_001,main_out_sensor,1980.0,6
athlete_001,main_in_sensor,2035.0,7
athlete_001,station_in_sensor,2090.0,7
athlete_001,station_out_sensor,2260.0,7
athlete_001,main_out_sensor,2320.0,7
athlete_001,main_in_sensor,2375.0,8
athlete_001,station_in_sensor,2430.0,8
athlete_001,finish_line_sensor,2475.0,
athlete_002,start_tunnel_sensor,00:00:00,
athlete_002,main_in_sensor,00:00:18,1
athlete_002,station_in_sensor,00:01:22,1
athlete_002,station_out_sensor,00:04:05,1
athlete_002,main_out_sensor,00:05:12,1
athlete_002,main_in_sensor,00:06:18,2
athlete_002,station_in_sensor,00:07:22,2
athlete_002,station_out_sensor,00:10:10,2
athlete_002,main_out_sensor,00:11:18,2
athlete_002,main_in_sensor,00:12:24,3
athlete_002,station_in_sensor,00:13:28,3
athlete_002,station_out_sensor,00:16:20,3
athlete_002,main_out_sensor,00:17:26,3
athlete_002,main_in_sensor,00:18:32,4
athlete_002,station_in_sensor,00:19:36,4
athlete_002,station_out_sensor,00:22:28,4
athlete_002,main_out_sensor,00:23:35,4
athlete_002,main_in_sensor,00:24:42,5
athlete_002,station_in_sensor,00:25:47,5
athlete_002,station_out_sensor,00:28:42,5
athlete_002,main_out_sensor,00:29:51,5
athlete_002,main_in_sensor,00:31:00,6
athlete_002,station_in_sensor,00:32:06,6
athlete_002,station_out_sensor,00:35:05,6
athlete_002,main_out_sensor,00:36:12,6
athlete_002,main_in_sensor,00:37:20,7
athlete_002,station_in_sensor,00:38:27,7
athlete_002,station_out_sensor,00:41:29,7
athlete_002,main_out_sensor,00:42:39,7
athlete_002,main_in_sensor,00:43:47,8
athlete_002,station_in_sensor,00:44:58,8
athlete_002,finish_line_sensor,00:45:50,
